Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster
New Caledonia,2015,272062,5.09,2902.8,558000,5.434667886348694,3.4628171144095043,5.746634198937579,2.051003080180253,0.0106696267762495,830062,5.919110532439024,-1.9718507719391896,2
New Caledonia,2016,272307,3.7,3129.9,625000,5.435058805579034,3.4955304621017307,5.795880017344075,2.2952035753763216,0.0114940122729125,897307,5.9529410557477656,-1.9395283434773036,2
New Caledonia,2017,272416,5.1,3228.2,626000,5.435232611712277,3.508960433176952,5.79657433321043,2.2979560671913544,0.0118502584282861,898416,5.953477477725613,-1.926272178535325,2
New Caledonia,2018,272416,4.63,3485.9,576000,5.435232611712277,3.542314924348525,5.760422483423212,2.1144132503230355,0.0127962381064254,848416,5.928608850139418,-1.892917687363752,2
New Caledonia,2019,272470,5.24,3333.6,475000,5.435318691744062,3.5229134874492214,5.676693609624866,1.743311190222777,0.0122347414394245,747470,5.873593766767822,-1.9124052042948405,2
New Caledonia,2020,273015,6.06,3232.9,80136,5.436186508719392,3.5095922712308374,4.903827660765977,0.2935223339376957,0.0118414739116898,353151,5.547960440358861,-1.9265942374885543,2
Niue,2000,1771,0.6,2.9,1900,3.248218561190075,0.4623979978989561,3.278753600952829,1.072840203274986,0.0016374929418407,3671,3.564784384503987,-2.785820563291119,0
Niue,2001,1725,0.58,3.0,1400,3.236789099409293,0.4771212547196624,3.146128035678238,0.8115942028985508,0.0017391304347826,3125,3.494850021680094,-2.7596678446896306,0
Niue,2002,1685,0.63,3.0,2100,3.2265999052073573,0.4771212547196624,3.322219294733919,1.2462908011869436,0.001780415430267,3785,3.5780658838360915,-2.749478650487695,0
Niue,2003,1654,0.71,3.4,2700,3.218535505216528,0.5314789170422551,3.431363764158988,1.6324062877871826,0.002055622732769,4354,3.638888424705076,-2.687056588174273,0
