Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
1,2008,50.195,50.900000000000006,951.475,488.05,236875.0,158300.0,1935808.75,553729.5,2172683.75,965529.5,13.878550100693829,10.469087417765346,22.259338932937567,16.971286286640876
1,2009,46.677499999999995,46.03,1063.425,484.3,240100.0,175750.0,1989532.0,558461.0,2229632.0,973711.0,14.173635880401871,11.654582536314859,22.330110606012614,17.289354660744188
1,2010,42.84,44.11,1078.325,513.0,270100.0,191850.0,2043928.75,562733.5,2314028.75,1027583.5,15.871727164875285,12.648252011905786,22.963384604177563,16.922532437083117
1,2011,43.5675,43.129999999999995,1102.8,500.15000000000003,288300.0,206950.0,2097710.75,566553.0,2386010.75,1058003.0,16.87147506287961,13.477596332890554,22.747713748817688,17.182082196543107
1,2012,44.065,43.855,1110.5500000000002,494.85,310525.0,248100.0,2150515.0,570167.5,2461040.0,1101267.5,18.332349857624756,16.196776034343593,22.871148649765868,17.72034748002189
1,2013,44.0675,43.54,1142.75,519.75,328350.0,269500.0,2203001.0,573633.0,2531351.0,1136383.0,19.754961771952264,18.281836051364863,23.788877395756117,18.176822134897904
1,2014,41.8925,40.575,1093.35,532.8,327225.0,260000.0,2255316.0,577051.0,2582541.0,1131851.0,20.09100500958378,18.612914213144617,22.948198273518905,15.775870800692221
1,2015,41.2325,41.55,1027.975,543.15,340800.0,243000.0,2307399.25,580432.0,2648199.25,1158432.0,20.41253130755048,16.828397053841375,23.75874460320898,16.879758529337018
1,2016,39.64,40.6,1028.8500000000001,552.85,380045.0,274790.0,2359142.5,583653.5,2739187.5,1240943.5,22.837557424719556,19.107593220181244,24.65602242472865,18.031498998038117
1,2017,39.1025,38.93,1011.575,596.1999999999999,387325.0,257400.0,2410411.0,586639.5,2797736.0,1266539.5,23.28827607646631,18.275574214951344,26.587585673589594,19.61129776913732
1,2018,36.8275,35.855000000000004,1094.375,610.9,403050.0,272600.0,2461211.25,589212.5,2864261.25,1293312.5,24.538823763125723,19.914116738637322,27.629578701470457,20.715913460378655
1,2019,37.395,36.855,1017.675,656.3,362000.0,233500.0,2511480.75,591397.0,2873480.75,1203897.0,22.32279394770417,17.899545374490692,29.567181862137762,22.529101100737773
2,2000,3.975,3.975,1769.0,1769.0,724000.0,724000.0,194392.5,194392.5,918392.5,918392.5,1187.3093365253078,1187.3093365253078,1784.6290184678523,1784.6290184678523
2,2001,3.565,3.565,1792.65,1792.65,655500.0,655500.0,197289.5,197289.5,852789.5,852789.5,1069.4160396716827,1069.4160396716827,1753.373974008208,1753.373974008208
2,2002,2.865,2.865,1734.1,1734.1,608500.0,608500.0,200002.5,200002.5,808502.5,808502.5,977.6684336525308,977.6684336525308,1627.5534370725034,1627.5534370725034
2,2003,2.715,2.715,1698.7,1698.7,538000.0,538000.0,202576.0,202576.0,740576.0,740576.0,840.9387824897401,840.9387824897401,1554.8999658002735,1554.8999658002735
2,2004,2.83,2.83,1714.0,1714.0,668500.0,668500.0,204941.5,204941.5,873441.5,873441.5,1071.0191518467852,1071.0191518467852,1654.5439466484268,1654.5439466484268
2,2005,2.765,2.765,1843.15,1843.15,705000.0,705000.0,206945.5,206945.5,911945.5,911945.5,1133.6559507523941,1133.6559507523941,1708.6066176470588,1708.6066176470588
2,2006,2.485,2.485,1843.0500000000002,1843.0500000000002,715500.0,715500.0,208719.5,208719.5,924219.5,924219.5,1119.9623803009576,1119.9623803009576,1717.7862517099863,1717.7862517099863
2,2007,3.1350000000000002,3.1350000000000002,1857.15,1857.15,726000.0,726000.0,210475.5,210475.5,936475.5,936475.5,1132.1297879616964,1132.1297879616964,1695.5504445964432,1695.5504445964432
2,2008,4.115,4.115,1832.5500000000002,1832.5500000000002,699000.0,699000.0,212203.5,212203.5,911203.5,911203.5,1056.6364569083448,1056.6364569083448,1691.5290697674418,1691.5290697674418
2,2009,3.705,3.705,1867.5500000000002,1867.5500000000002,641500.0,641500.0,214111.0,214111.0,855611.0,855611.0,974.123632010944,974.123632010944,1690.590629274966,1690.590629274966
2,2010,2.6599999999999997,2.6599999999999997,1959.0,1959.0,739500.0,739500.0,216377.0,216377.0,955877.0,955877.0,1107.8992818057454,1107.8992818057454,1700.1426983584133,1700.1426983584133
2,2011,3.21,3.21,2007.3,2007.3,754000.0,754000.0,218764.5,218764.5,972764.5,972764.5,1075.6976744186047,1075.6976744186047,1676.2112688098493,1676.2112688098493
2,2012,3.35,3.35,2002.3500000000001,2002.3500000000001,849000.0,849000.0,221102.0,221102.0,1070102.0,1070102.0,1212.8761969904242,1212.8761969904242,1641.0726744186045,1641.0726744186045
2,2013,3.5749999999999997,3.5749999999999997,2108.6,2108.6,914000.0,914000.0,223395.0,223395.0,1137395.0,1137395.0,1239.6186730506156,1239.6186730506156,1642.3386627906975,1642.3386627906975
2,2014,2.48,2.48,2351.7,2351.7,936000.0,936000.0,225247.0,225247.0,1161247.0,1161247.0,1248.8483242134064,1248.8483242134064,1638.0733584131326,1638.0733584131326
2,2015,3.705,3.705,2310.3,2310.3,983500.0,983500.0,225864.0,225864.0,1209364.0,1209364.0,1310.3035225718195,1310.3035225718195,1658.280266757866,1658.280266757866
2,2016,4.04,4.04,2438.05,2438.05,1080500.0,1080500.0,225618.0,225618.0,1306118.0,1306118.0,1428.8645690834473,1428.8645690834473,1690.596614227086,1690.596614227086
2,2017,4.5,4.5,2498.1,2498.1,1085500.0,1085500.0,225270.0,225270.0,1310770.0,1310770.0,1437.1639876880986,1437.1639876880986,1713.3228454172367,1713.3228454172367
2,2018,4.5600000000000005,4.5600000000000005,2612.7,2612.7,1062500.0,1062500.0,224824.5,224824.5,1287324.5,1287324.5,1439.4724692202462,1439.4724692202462,1694.1786080711354,1694.1786080711354
2,2019,4.855,4.855,2536.3,2536.3,1071000.0,1071000.0,224382.0,224382.0,1295382.0,1295382.0,1545.1650136798905,1545.1650136798905,1689.5521545827633,1689.5521545827633
3,2000,5.48,5.48,288.65000000000003,288.65000000000003,147500.0,147500.0,168535.0,168535.0,316035.0,316035.0,62.9100143260158,62.9100143260158,98.77263107794249,98.77263107794249
3,2001,4.535,4.535,303.3,303.3,133000.0,133000.0,170698.5,170698.5,303698.5,303698.5,56.28764861282548,56.28764861282548,101.7506456911346,101.7506456911346
3,2002,4.175,4.175,316.65000000000003,316.65000000000003,117000.0,117000.0,172818.0,172818.0,289818.0,289818.0,56.07372413363319,56.07372413363319,106.88244612984377,106.88244612984377
3,2003,4.4,4.4,331.65000000000003,331.65000000000003,132000.0,132000.0,175028.5,175028.5,307028.5,307028.5,63.39343991655852,63.39343991655852,112.78541333890195,112.78541333890195
3,2004,4.845,4.845,347.35,347.35,131500.0,131500.0,177313.5,177313.5,308813.5,308813.5,63.262789276370384,63.262789276370384,117.96457235694848,117.96457235694848
3,2005,4.865,4.865,355.8,355.8,134000.0,134000.0,179512.0,179512.0,313512.0,313512.0,69.01633734323289,69.01633734323289,121.81599652181393,121.81599652181393
3,2006,5.675,5.675,360.15,360.15,138000.0,138000.0,181645.5,181645.5,319645.5,319645.5,66.66134588745678,66.66134588745678,124.3127357223632,124.3127357223632
3,2007,5.6850000000000005,5.6850000000000005,374.6,374.6,154000.0,154000.0,183470.0,183470.0,337470.0,337470.0,77.07586009849273,77.07586009849273,128.88191842516596,128.88191842516596
3,2008,5.574999999999999,5.574999999999999,373.35,373.35,146000.0,146000.0,184577.5,184577.5,330577.5,330577.5,74.98544985548253,74.98544985548253,128.49862188174095,128.49862188174095
3,2009,5.404999999999999,5.404999999999999,381.65,381.65,132350.0,132350.0,185218.0,185218.0,317568.0,317568.0,76.91567184495104,76.91567184495104,129.0806641061328,129.0806641061328
